name_en	name_zh	address_en	address_zh	sub_district_en	sub_district_zh	district_en	district_zh	area_en	area_zh	x	y	lat	long
Kam Tsin Wai Public Toilet	金錢圍公廁	Kam Tsin Wai, Pat Heung, Yuen Long, NT	新界元朗八鄉金錢圍	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	825723	832689	22.4335587	114.074441481
Kam Wa Street Public Toilet	金華街公廁	Kam Wa Street Public Toilet, Shau Kei Wan, HK	香港筲箕灣金華街公廁	Shau Kei Wan	筲箕灣	Eastern	東區	Hong Kong	港島	841796	815420	22.277633647	114.230512992
Kwu Tung (Tiu Yuen) Public Toilet	古洞（調源）公廁	Kwu Tung (Tiu Yuen) Public Toilet, Kwu Tung, Sheung Shui, NT	新界上水古洞古洞（調源）公廁	Sheung Shui	上水	North	北區	New Territories	新界	828595	840557	22.504625323	114.102301733
Kwu Tung (Lung Tang Kok) Public Toilet	古洞（龍騰閣）公廁	Kwu Tung (Lung Tan Kok) Public Toilet, Kwu Tung, Sheung Shui, NT	新界上水古洞古洞（龍騰閣）公廁	Sheung Shui	上水	North	北區	New Territories	新界	828762	840431	22.503488238	114.103925375
Kwu Tung (Tin Sum) Public Toilet	古洞（田心）公廁	Kwu Tung (Tin Sum) Public Toilet, Kwu Tung, Sheung Shui, NT	新界上水古洞古洞田心公廁	Sheung Shui	上水	North	北區	New Territories	新界	828473	839905	22.49873696	114.10111924
Shek Tsai Ling Public Toilet	石仔嶺公廁	Kwu Tung Grass Soccer Pitch, Kwu Tung, Sheung Shui, NT	新界上水古洞古洞草地足球場	Sheung Shui	上水	North	北區	New Territories	新界	828361	840563	22.504678437	114.100027495
Ngar Yiu Public Toilet	瓦窰公廁	Nga Yiu Public Toilet, Sheung Shui, NT	新界上水瓦窰公廁	Sheung Shui	上水	North	北區	New Territories	新界	832145	844686	22.54192397	114.136792868
Shek Wu San Tsuen Public Toilet	石湖新村公廁	Shek Wu San Tsuen Public Toilet, Sheung Shui, NT	新界上水石湖新村公廁	Sheung Shui	上水	North	北區	New Territories	新界	832070	840945	22.508141199	114.136073673
Kat On Street Public Toilet	吉安街公廁	St. Jame's Settlement True Light Home for the Aged, Wan Chai, HK	香港灣仔聖雅各福群會真光護老之家	Wan Chai	灣仔	Wan Chai	灣仔	Hong Kong	港島	836038	814938	22.273289737	114.174642705
Kau Lee Uk Tsuen Aqua Privy	舊李屋村旱廁	Kau Lee Uk Tsuen, Ha Tsuen, Yuen Long, NT	新界元朗廈村舊李屋村	Ha Tsuen	廈村	Yuen Long	元朗	New Territories	新界	817142	833707	22.442677299	113.991074663
Shek Wu Hui Public Toilet	石湖墟公廁	Sheung Shui Cycling Entry/Exit Hub, Shek Wu Hui, Sheung Shui, NT	新界上水石湖墟上水單車匯合中心	Shek Wu Hui	石湖墟	North	北區	New Territories	新界	831037	840505	22.504164977	114.126035308
Kau Lung Hang Village Public Toilet	九龍坑村公廁	Kau Lung Hang Village Public Toilet, Tai Po, NT	新界大埔九龍坑村公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	834413	837837	22.480078872	114.158849128
Kau U Fong Children's Playground Toilet	九如坊兒童遊樂場廁所	Kau U Fong Children's Playground Toilet, Sheung Wan, HK	香港上環九如坊兒童遊樂場廁所	Sheung Wan	上環	Central & Western	中西區	Hong Kong	港島	833793	816159	22.284314393	114.152858075
Kau Wah Keng Tsuen Aqua Privy	九華徑村旱廁	Kwai Chung, NT	新界葵涌	Kwai Chung	葵涌	Kwai Tsing	葵青	New Territories	新界	832205	822864	22.344861543	114.137431861
Kei Ling Ha Lo Wai Public Toilet	企嶺下老圍公廁	Sai Kung, NT	新界西貢	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	846343	830174	22.410849861	114.274725868
Kei Ling Ha Sun Wai Public Toilet	企嶺下新圍公廁	Kei Ling Ha San Wai Public Toilet, Sai Kung, NT	新界西貢企嶺下新圍公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	845877	830783	22.4163521	114.270203614
Kei Lun Wai Public Toilet	麒麟圍公廁	Kei Lun Wai Public Toilet, Tuen Mun, NT	新界屯門麒麟圍公廁	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	815615	830250	22.411441392	113.976285522
Kei Yip Lane Public Toilet	基業里公廁	Kei Yip Lane Public Toilet, Kwun Tong, KLN	九龍觀塘基業里公廁	Kwun Tong	觀塘	Kwun Tong	觀塘	Kowloon	九龍	840892	818842	22.308539095	114.221751283
Kennedy Road Public Toilet	堅尼地道公廁	Kennedy Road Public Toilet, Central District, HK	香港中環堅尼地道公廁	Central	中環	Central & Western	中西區	Hong Kong	港島	834228	815331	22.276837594	114.157080167
Kennedy Town Bus Terminus Sai Ning Street Public Toilet	堅尼地城巴士總站西寧街公廁	Kennedy Town Bus Terminus Sai Ning Street Public Toilet, Kennedy Town, HK	香港堅尼地城堅尼地城巴士總站西寧街公廁	Kennedy Town	堅尼地城	Central & Western	中西區	Hong Kong	港島	830726	815905	22.282013491	114.123098187
Ki Lun Shan Public Toilet	麒麟山公廁	Ki Lun Shan Public Toilet, San Tin, Yuen Long, NT	新界元朗新田麒麟山公廁	San Tin	新田	Yuen Long	元朗	New Territories	新界	826868	839581	22.49580303	114.085523093
Shek Wu Hui Playground Toilet	石湖墟遊樂場廁所	Shek Wu Hui Playground, Shek Wu Hui, Sheung Shui, NT	新界上水石湖墟石湖墟遊樂場	Shek Wu Hui	石湖墟	North	北區	New Territories	新界	831300	840454	22.503705213	114.128591515
Kik Yeung Road Public Toilet	擊壤路公廁	Kik Yeung Road Public Toilet, Yuen Long, NT	新界元朗擊壤路公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	820588	834006	22.445412443	114.024547818
Kimberley Road Urinal Toilet	金巴利道尿廁	Kimberley Road Urinal Toilet, Tsim Sha Tsui, KLN	九龍尖沙咀金巴利道尿廁	Tsim Sha Tsui	尖沙咀	Yau Tsim Mong	油尖旺	Kowloon	九龍	836122	818143	22.302232913	114.175457457
Kin Fung Circuit Public Toilet	建豐街公廁	Kin Fung Circuit Public Toilet, Tuen Mun, NT	新界屯門建豐街公廁	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	815273	828743	22.397828361	113.972983769
Kin Lung Street Public Toilet	建隆街公廁	Kin Lung Street Public Toilet, Tuen Mun, NT	新界屯門建隆街公廁	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	814917	828659	22.397065408	113.969527656
Kin Yip Street Cooked Food Market Toilet	建業街熟食市場廁所	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821328	833755	22.443152428	114.031739039
King's Park Recreation Ground Changing Rooms	京士柏遊樂場更衣室	King's Park, KLN	九龍京士柏	King's Park	京士柏	Yau Tsim Mong	油尖旺	Kowloon	九龍	835959	819065	22.310559114	114.173875402
King's Road Playground Toilet	英皇道遊樂場廁所	King's Road Playground Toilet, North Point, HK	香港北角英皇道遊樂場廁所	North Point	北角	Eastern	東區	Hong Kong	港島	839032	817039	22.292260892	114.203696466
Kiu Tau Wai Public Toilet	橋頭圍公廁	Kiu Tau Wai, Ping Shan, Yuen Long, NT	新界元朗屏山橋頭圍	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	818537	833764	22.443207057	114.004625721
Kiu Tsui Beach Toilet	橋咀泳灘廁所	Sharp Island, Sai Kung, NT	新界西貢橋咀洲	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	847725	825382	22.367567017	114.288113825
Ko Lau Wan Site (1) Public Toilet	高流灣（1）公廁	Ko Lau Wan Site (1) Public Toilet, Sai Kung, NT	新界西貢高流灣（1）公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	855245	835494	22.458816205	114.361248025
Ko Lau Wan Site (2) Public Toilet	高流灣（2）公廁	Ko Lau Wan Site (2) Public Toilet, Sai Kung, NT	新界西貢高流灣（2）公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	855338	835636	22.460097485	114.36215328
Ko Long Village Aqua Privy	高塱村旱廁	Ko Long, Lamma Island, NT	新界南丫島高塱	Lamma Island	南丫島	Islands	離島	New Territories	新界	829634	809408	22.223337425	114.112528887
Ko Po Tsuen Public Toilet	錦田高埔村公廁	Ko Po Tsuen Public Toilet, Kam Tin, Yuen Long, NT	新界元朗錦田錦田高埔村公廁	Kam Tin	錦田	Yuen Long	元朗	New Territories	新界	823898	833563	22.441439093	114.056706875
Ko Shan Road Park 7-a-side Hard-surfaced Soccer Pitch Toilet	高山道公園7人硬地足球場廁所	Ko Shan Road Park 7-a-side Hard-surfaced Soccer Pitch Stand, To Kwa Wan, KLN	九龍土瓜灣高山道公園7人硬地足球場看台	To Kwa Wan	土瓜灣	Kowloon City	九龍城	Kowloon	九龍	837173	819531	22.314767161	114.185657971
Ko Tong Ha Yeung Public Toilet	高塘下洋公廁	Ko Tong Ha Yeung Public Toilet, Sai Kung, NT	新界西貢高塘下洋公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	852232	833066	22.436921148	114.331950516
Kotewall Road Public Toilet	旭龢道公廁	Kotewall Road Public Toilet, Pok Fu Lam, HK	香港薄扶林旭龢道公廁	Pok Fu Lam	薄扶林	Southern	南區	Hong Kong	港島	832295	815740	22.280527761	114.138323203
Kowloon City Complex Public Toilet	九龍城市政大廈公廁	Kowloon City Municipal Services Building, Kowloon City, KLN	九龍九龍城九龍城市政大廈	Kowloon City	九龍城	Kowloon City	九龍城	Kowloon	九龍	837506	821178	22.329640336	114.18889123
Kowloon City Road Public Toilet	九龍城道公廁	Kowloon City Road Public Toilet, To Kwa Wan, KLN	九龍土瓜灣九龍城道公廁	To Kwa Wan	土瓜灣	Kowloon City	九龍城	Kowloon	九龍	837408	819743	22.316681507	114.18793895
Kowloon Hospital Toilet	九龍醫院廁所	Kowloon City, KLN	九龍九龍城	Kowloon City	九龍城	Kowloon City	九龍城	Kowloon	九龍	836465	820383	22.322461456	114.178786479
Kowloon Park Administration Building Toilet	九龍公園行政大樓廁所	Kowloon Park Administration Building, Tsim Sha Tsui, KLN	九龍尖沙咀九龍公園行政大樓	Tsim Sha Tsui	尖沙咀	Yau Tsim Mong	油尖旺	Kowloon	九龍	835586	818135	22.302160541	114.170255697
Kowloon Tong Public Transport Interchange Public Toilet	九龍塘公共運輸交滙處公廁	Suffolk Road, Kowloon Tong	九龍塘沙福道	Kowloon Tong	九龍塘	Kowloon City	九龍城	Kowloon	九龍	836260	821908	22.336233108	114.176796709
Kowloon Walled City Park Toilet	九龍寨城公園廁所	Kowloon Walled City Park Toilet, Kowloon City, KLN	九龍九龍城九龍寨城公園廁所	Kowloon City	九龍城	Kowloon City	九龍城	Kowloon	九龍	837719	821539	22.332900209	114.190959081
Ku Miu Cheung Uk Tsuen Public Toilet	張屋村古廟公廁	Ku Miu Cheung Uk Tsuen Public Toilet, Pat Heung, Yuen Long, NT	新界元朗八鄉張屋村古廟公廁	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	828305	832532	22.432154873	114.099523495
Shek Wu Hui Jockey Club Playground A Toilet	石湖墟賽馬會遊樂場A場廁所	Shek Wu Hui Jockey Club Playground A Toilet, Shek Wu Hui, Sheung Shui, NT	新界上水石湖墟石湖墟賽馬會遊樂場A場廁所	Shek Wu Hui	石湖墟	North	北區	New Territories	新界	831037	840690	22.505835598	114.126034698
Kuk Ting Street Public Toilet	谷亭街公廁	Kuk Ting Street Public Toilet, Yuen Long, NT	新界元朗谷亭街公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821138	833987	22.445245818	114.029891073
Kung Lok Road Playground Toilet	功樂道遊樂場廁所	Kung Lok Road Playground, Ngau Tau Kok, KLN	九龍牛頭角功樂道遊樂場	Ngau Tau Kok	牛頭角	Kwun Tong	觀塘	Kowloon	九龍	840594	820079	22.31971072	114.218862473
Kwai Chung Sports Ground Toilet	葵涌運動場廁所	Kwai Chung, NT	新界葵涌	Kwai Chung	葵涌	Kwai Tsing	葵青	New Territories	新界	830971.98	824454.811	22.359224094	114.125456772
Kwai Fong Station Bus Terminus Public Toilet	葵芳站巴士總站公廁	New Kwai Fong Gardens, Kwai Chung, NT	新界葵涌新葵芳花園	Kwai Chung	葵涌	Kwai Tsing	葵青	New Territories	新界	831235	824172	22.356670946	114.12801125
Kwai Fong Street Playground Toilet	桂芳街遊樂場廁所	Kwai Fong Street Playground Toilet, Happy Valley, HK	香港跑馬地桂芳街遊樂場廁所	Happy Valley	跑馬地	Wan Chai	灣仔	Hong Kong	港島	837285	814196	22.266588707	114.186741605
Kwai Hing Station Bus Terminus Public Toilet	葵興站巴士總站公廁	Kwai Chung, NT	新界葵涌	Kwai Chung	葵涌	Kwai Tsing	葵青	New Territories	新界	831610	824926	22.363481035	114.131649759
Kwai Shing Playground Toilet	葵盛遊樂場廁所	Kwai Shing Playground Toilet, Kwai Chung, NT	新界葵涌葵盛遊樂場廁所	Kwai Chung	葵涌	Kwai Tsing	葵青	New Territories	新界	830985.433	824713.888	22.361563742	114.125586528
Kwai Shing Playground Toilet	葵盛遊樂場廁所	Kwai Shing Playground Toilet, Kwai Chung, NT	新界葵涌葵盛遊樂場廁所	Kwai Chung	葵涌	Kwai Tsing	葵青	New Territories	新界	830973.694	824729.864	22.361707978	114.125472502
Kwai Shun Street Public Toilet	葵順街公廁	Kwai Shun Street Public Toilet, Kwai Chung, NT	新界葵涌葵順街公廁	Kwai Chung	葵涌	Kwai Tsing	葵青	New Territories	新界	830865	823873	22.353969689	114.124420099
San Shing Avenue Public Toilet	新成路公廁	San Shing Avenue Public Toilet and Bathhouse, Shek Wu Hui, Sheung Shui, NT	新界上水石湖墟新成路公廁及公共浴室	Shek Wu Hui	石湖墟	North	北區	New Territories	新界	831382	840568	22.504734914	114.129388103
Hang Tau (Ngai Yuen) Public Toilet	坑頭（藝園）公廁	Hang Tau (Ngai Yuen) Public Toilet, Sheung Shui, NT	新界上水坑頭（藝園）公廁	Sheung Shui	上水	North	北區	New Territories	新界	828389	839507	22.49514248	114.100304869
Kwei Tei Street Public Toilet	桂地街公廁	Kwei Tei Street Public Toilet, Fo Tan, Sha Tin, NT	新界沙田火炭桂地街公廁	Fo Tan	火炭	Sha Tin	沙田	New Territories	新界	837725	828939	22.399726216	114.191024092
Kwong Pan Tin Village (Section II) Public Toilet	光板田村（二段）公廁	Kwong Pan Tin Village (Section II) Public Toilet, Tsuen Wan, NT	新界荃灣光板田村（二段）公廁	Tsuen Wan	荃灣	Tsuen Wan	荃灣	New Territories	新界	829638	826937	22.381634954	114.112495234
Kwong Pan Tin Village Public Toilet	光板田村公廁	Kwong Pan Tin Village Public Toilet, Tsuen Wan, NT	新界荃灣光板田村公廁	Tsuen Wan	荃灣	Tsuen Wan	荃灣	New Territories	新界	829650	826674	22.379259973	114.112612847
Kwong Shan Tsuen Public Toilet	礦山村公廁	Kwong Shan Tsuen Public Toilet, Tuen Mun, NT	新界屯門礦山村公廁	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	814744	830123	22.410283809	113.967827836
Hang Tau Road Public Toilet	坑頭路公廁	Hang Tau Road Public Toilet, Sheung Shui, NT	新界上水坑頭路公廁	Sheung Shui	上水	North	北區	New Territories	新界	828771	839616	22.496128513	114.104016697
Hang Tau Luen On Bridge Public Toilet	坑頭聯安橋公廁	Hang Tau Luen On Bridge Public Toilet, Sheung Shui, NT	新界上水坑頭聯安橋公廁	Sheung Shui	上水	North	北區	New Territories	新界	828503	838682	22.487692926	114.101416779
Sha Ling, Cheung Po Tau Public Toilet	沙嶺長甫頭公廁	Sha Ling, Cheung Po Tau Public Toilet, Sheung Shui, NT	新界上水沙嶺長甫頭公廁	Sheung Shui	上水	North	北區	New Territories	新界	830904	843046	22.527110739	114.124734106
Tsung Pak Long (South) Public Toilet	松柏朗（南）公廁	Tsung Pak Long (South) Public Toilet, Sheung Shui, NT	新界上水松柏朗（南）公廁	Sheung Shui	上水	North	北區	New Territories	新界	830391	840311	22.50241098	114.119757678
Ho Sheung Heung San Tsuen Public Toilet	河上鄉新村公廁	Ho Sheung Heung San Tsuen Public Toilet, Sheung Shui, NT	新界上水河上鄉新村公廁	Sheung Shui	上水	North	北區	New Territories	新界	829482	841780	22.515673231	114.110917105
Ho Sheung Old Village Public Toilet (II)	河上鄉舊村公廁（II）	Ho Sheung Heung Old Village Public Toilet (II), Sheung Shui, NT	新界上水河上鄉舊村公廁（ＩＩ）	Sheung Shui	上水	North	北區	New Territories	新界	829402	841236	22.510760388	114.110141893
Fu Tei Au Public Toilet	虎地坳公廁	Fu Tei Au Public Toilet, Sheung Shui, NT	新界上水虎地坳公廁	Sheung Shui	上水	North	北區	New Territories	新界	830913	842076	22.518351314	114.124824869
Kwun Tong Promenade Toilet	觀塘海濱花園廁所	Kwun Tong, KLN	九龍觀塘	Kwun Tong	觀塘	Kwun Tong	觀塘	Kowloon	九龍	840441	819240	22.312134428	114.217375268
Kwun Tong Recreation Ground Toilet	觀塘遊樂場廁所	Kwun Tong, KLN	九龍觀塘	Kwun Tong	觀塘	Kwun Tong	觀塘	Kowloon	九龍	841711	819196	22.311733532	114.229701057
Kwun Yam Shan Village Public Toilet	觀音山村公廁	Kwun Yam Shan Village Public Toilet, Sha Tin, NT	新界沙田觀音山村公廁	Sha Tin	沙田	Sha Tin	沙田	New Territories	新界	840199	824993	22.364087878	114.215040699
Kwun Yum Temple Toilet	觀音寺廁所	Lantau Island, NT	新界大嶼山	Lantau Island	大嶼山	Islands	離島	New Territories	新界	806091	811466	22.241671851	113.884140081
Ladder Street Public Toilet	樓梯街公廁	Ladder Street Public Toilet, Sheung Wan, HK	香港上環樓梯街公廁	Sheung Wan	上環	Central & Western	中西區	Hong Kong	港島	833552	816180	22.284503674	114.150519486
Lai Chi Kok Government Offices Public Toilet	荔枝角政府合署公廁	Lai Chi Kok Government Offices, Lai Chi Kok, KLN	九龍荔枝角荔枝角政府合署	Lai Chi Kok	荔枝角	Sham Shui Po	深水埗	Kowloon	九龍	832310	822318	22.339931098	114.138452522
Lai Chi Kok Park Swimming Pool Toilet	荔枝角公園游泳池廁所	Lai Chi Kok Park Swimming Pool Toilet, Lai Chi Kok, KLN	九龍荔枝角荔枝角公園游泳池廁所	Lai Chi Kok	荔枝角	Sham Shui Po	深水埗	Kowloon	九龍	832197	822381	22.34049976	114.137355427
Lai Chi Kok Park Swimming Pool Toilet	荔枝角公園游泳池廁所	Lai Chi Kok Park Swimming Pool, Lai Chi Kok, KLN	九龍荔枝角荔枝角公園游泳池	Lai Chi Kok	荔枝角	Sham Shui Po	深水埗	Kowloon	九龍	832209	822405	22.340716522	114.137471855
Kam Tsin (North) Public Toilet	金錢（北）公廁	Kam Tsin (North) Public Toilet, Sheung Shui, NT	新界上水金錢（北）公廁	Sheung Shui	上水	North	北區	New Territories	新界	829633	840179	22.50121619	114.112391467
Lai Uk Tsuen Public Toilet	黎屋村公廁	Lai Uk Tsuen Public Toilet, Pat Heung, Yuen Long, NT	新界元朗八鄉黎屋村公廁	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	827481	832078	22.428051013	114.091521846
Lai Yip Street Public Toilet	勵業街公廁	Lai Yip Street Public Toilet, Kwun Tong, KLN	九龍觀塘勵業街公廁	Kwun Tong	觀塘	Kwun Tong	觀塘	Kowloon	九龍	840373	819410	22.313669794	114.216715733
Lam Hau Pok Public Toilet	欖口壆公廁	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	820184	833075	22.437001368	114.020632501
Lam Hau Tsuen Public Toilet	欖口村公廁	Lam Hau Tsuen Public Toilet, Shap Pat Heung, Yuen Long, NT	新界元朗十八鄉欖口村公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	819910	832920	22.435599055	114.017972434
Lam Tei Market Public Toilet	藍地街市公廁	Lam Tei Market Public Toilet, Tuen Mun, NT	新界屯門藍地街市公廁	Lam Tei	藍地	Tuen Mun	屯門	New Territories	新界	816430	831056	22.418729552	113.984191003
Lam Tin Bus Terminus Sitting-out Area Toilet	藍田巴士總站休憩處廁所	Lam Tin Bus Terminus Sitting-out Area Toilet, Lam Tin, KLN	九龍藍田藍田巴士總站休憩處廁所	Lam Tin	藍田	Kwun Tong	觀塘	Kowloon	九龍	842474	818921	22.309247534	114.237105238
Lam Tin Park Toilet	藍田公園廁所	Lam Tin Park Toilet, Lam Tin, KLN	九龍藍田藍田公園廁所	Lam Tin	藍田	Kwun Tong	觀塘	Kowloon	九龍	842697	819064	22.310538091	114.239270085
Lam Tin Park Toilet	藍田公園廁所	Lam Tin, KLN	九龍藍田	Lam Tin	藍田	Kwun Tong	觀塘	Kowloon	九龍	842971	819084	22.310717657	114.241929435
Lan Kwai Fong Public Toilet	蘭桂坊公廁	Lan Kwai Fong Public Toilet, Central District, HK	香港中環蘭桂坊公廁	Central	中環	Central & Western	中西區	Hong Kong	港島	834103	815782	22.28091026	114.155866682
Lantau Link Viewing Platform Public Toilet	青嶼幹線觀景臺公廁	Tsing Yi, NT	新界青衣	Tsing Yi	青衣	Kwai Tsing	葵青	New Territories	新界	826503	824372	22.358456686	114.082069217
Larch Street Public Toilet	洋松街公廁	Larch Street Public Toilet, Tai Kok Tsui, KLN	九龍大角咀洋松街公廁	Tai Kok Tsui	大角咀	Yau Tsim Mong	油尖旺	Kowloon	九龍	834755	820489	22.32341805	114.162188811
Latrine & Changing Room	公廁及更衣室	Latrine & Changing Room, Quarry Bay, HK	香港鰂魚涌公廁及更衣室	Quarry Bay	鰂魚涌	Eastern	東區	Hong Kong	港島	840250	816603	22.288321152	114.215514967
Lau Fau Shan Pak Nai near Vegetable Market Office Public Toilet	流浮山白泥（近菜站）公廁	Ha Tsuen, Yuen Long, NT	新界元朗廈村	Ha Tsuen	廈村	Yuen Long	元朗	New Territories	新界	813840	834260	22.447631007	113.958989716
Lau Fau Shan Roundabout Public Toilet (Vacuum Toilet)	流浮山迴旋處真空廁	Lau Fau Shan Roundabout Public Toilet, Lau Fau Shan, Yuen Long, NT	新界元朗流浮山流浮山迴旋處公廁	Lau Fau Shan	流浮山	Yuen Long	元朗	New Territories	新界	816398	836449	22.467430153	113.98381282
Lau Fau Shan San Hing Tsuen Public Toilet	新慶村公廁	San Hing Tsuen, Lau Fau Shan, Yuen Long, NT	新界元朗流浮山新慶村	Lau Fau Shan	流浮山	Yuen Long	元朗	New Territories	新界	816682	836141	22.464652075	113.986576016
Lau Fau Shan Sha Kiu Tsuen Sheung Wan Public Toilet	流浮山沙橋村上灣公廁	Lau Fau Shan Sha Kiu Tsuen Sheung Wan Public Toilet, Lau Fau Shan, Yuen Long, NT	新界元朗流浮山流浮山沙橋村上灣公廁	Lau Fau Shan	流浮山	Yuen Long	元朗	New Territories	新界	817963	838581	22.486700392	113.998994084
Lau Fau Shan Sheung Pak Nai Sha Kong Miu Public Toilet	流浮山上白泥沙江廟公廁	Ha Tsuen, Yuen Long, NT	新界元朗廈村	Ha Tsuen	廈村	Yuen Long	元朗	New Territories	新界	816051	835813	22.461682763	113.980449396
Law Uk Tsuen Public Toilet	羅屋村公廁	Lo Uk Tsuen, Lantau Island, NT	新界大嶼山羅屋村	Lantau Island	大嶼山	Islands	離島	New Territories	新界	815576	811641	22.243391807	113.976147249
Lee Lok Street Public Toilet	利樂街公廁	Lee Lok Street Public Toilet, Ap Lei Chau, HK	香港鴨脷洲利樂街公廁	Ap Lei Chau	鴨脷洲	Southern	南區	Hong Kong	港島	833935	811028	22.237978283	114.154243413
Lei Yue Mun (Ling Nam Sun Tsuen) Public Toilet	鯉魚門（嶺南新村）公廁	Lei Yue Mun (Ling Nam Sun Tsuen) Public Toilet, Yau Tong, KLN	九龍油塘鯉魚門（嶺南新村）公廁	Lei Yue Mun	鯉魚門	Kwun Tong	觀塘	Kowloon	九龍	842696	817084	22.292657489	114.239252434
Lei Yue Mun Ma Wan Public Toilet cum Bathhouse	鯉魚門馬環公廁及浴室	Lei Yue Mun Ma Wan Public Toilet cum Bathhouse, Yau Tong, KLN	九龍油塘鯉魚門馬環公廁及浴室	Lei Yue Mun	鯉魚門	Kwun Tong	觀塘	Kowloon	九龍	842514	816559	22.287917082	114.237484239
Lei Yue Mun Road Playground Toilet	鯉魚門道遊樂場廁所	Yau Tong, KLN	九龍油塘	Yau Tong	油塘	Kwun Tong	觀塘	Kowloon	九龍	842639	817962	22.30058658	114.238702791
Kam Tsin Tsuen (South) Public Toilet	金錢村（南）公廁	Kam Tsin (South) Public Toilet, Sheung Shui, NT	新界上水金錢（南）公廁	Sheung Shui	上水	North	北區	New Territories	新界	829618	839940	22.499057869	114.112246691
Liu Pok Tsuen (North) Public Toilet	料壆村（北）公廁	Liu Pok Tsuen (North) Public Toilet, Sheung Shui, NT	新界上水料壆村（北）公廁	Sheung Shui	上水	North	北區	New Territories	新界	828789	843109	22.527671683	114.10417514
Leung Uk Village Public Toilet	大嶼山大澳梁屋村公廁	Leung Uk Tsuen, Tai O, Lantau Island, NT	新界大嶼山大澳梁屋村	Lantau Island	大嶼山	Islands	離島	New Territories	新界	804169	812201	22.248274668	113.865481113
Lido Beach Public Toilet	麗都灣公廁	Lido Beach Public Toilet, Ting Kau, Tsuen Wan, NT	新界荃灣汀九麗都灣公廁	Ting Kau	汀九	Tsuen Wan	荃灣	New Territories	新界	825960	825442	22.368116184	114.076790514
Lin Au Public Toilet	蓮澳公廁	Lin Au Public Toilet, Lam Tsuen Valley, Tai Po, NT	新界大埔林村谷蓮澳公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	833276	833667	22.442420345	114.147808597
Lin Cheung Road Public Toilet	連翔道公廁	Yau Ma Tei, KLN	九龍油麻地	Yau Ma Tei	油麻地	Yau Tsim Mong	油尖旺	Kowloon	九龍	835001.862	818941.12	22.309439967	114.164586133
Lin Fa Kung Public Toilet	蓮花宮公廁	Lin Fa Kung Public Toilet, Tai Hang, HK	香港大坑蓮花宮公廁	Tai Hang	大坑	Wan Chai	灣仔	Hong Kong	港島	837913	815593	22.279204033	114.192836099
Lin Fa Tei East Aqua Privy	蓮花地東旱廁	Lin Fa Tei East Aqua Privy, Pat Heung, Yuen Long, NT	新界元朗八鄉蓮花地東旱廁	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	827072	832113	22.428364932	114.087548825
Lin Fa Tei Public Toilet	蓮花地公廁	Lin Fa Tei Public Toilet, Pat Heung, Yuen Long, NT	新界元朗八鄉蓮花地公廁	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	826965	832081	22.42807538	114.086509666
Lin Hok Sin Koon Toilet	蓮鶴仙觀廁所	Shek O, HK	香港石澳	Shek O	石澳	Southern	南區	Hong Kong	港島	842297	811196	22.23948647	114.235358374
Liu Pok Tsuen (South) Public Toilet	料壆村（南）公廁	Liu Pok Tsuen (South) Public Toilet, Sheung Shui, NT	新界上水料壆村（南）公廁	Sheung Shui	上水	North	北區	New Territories	新界	828957	843066	22.527284107	114.105808374
So Kwun Po Tsuen Public Toilet	掃管埔村公廁	So Kwun Po Tsuen Public Toilet, Sheung Shui, NT	新界上水掃管埔村公廁	Sheung Shui	上水	North	北區	New Territories	新界	831497	840068	22.500220045	114.130507275
Toilet (Near to Sheung Shui)	廁所（上水附近）	Toilet, Sheung Shui, NT	新界上水廁所	Sheung Shui	上水	North	北區	New Territories	新界	831727	840064	22.500184551	114.132742549
Wa Shan Tsuen Public Toilet	華山村公廁	Wa Shan Tsuen Public Toilet, Sheung Shui, NT	新界上水華山村公廁	Sheung Shui	上水	North	北區	New Territories	新界	831722	841830	22.516132191	114.132688893
